Year,Vaccination,Vaccination flag,Category ,Category flag,Group,Group flag,Estimate,Estimate flag
2004,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino White,,92.0,
2005,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino White,,91.0,
2006,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino White,,93.0,
2007,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino White,,93.0,
2008,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino White,,94.0,
2009,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino White,,93.0,
1995,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino White,,91.0,
1996,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino White,,91.0,
1997,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino White,,91.0,
1998,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino White,,93.0,
1999,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino White,,92.0,
2000,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino White,,92.0,
2001,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino White,,92.0,
2002,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino White,,93.0,
2003,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino White,,93.0,
2004,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino White,,94.0,
2005,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino White,,91.0,
2006,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino White,,93.0,
2007,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino White,,92.0,
2008,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino White,,91.0,
2009,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino White,,91.0,
1995,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino White,,93.0,
1996,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino White,,93.0,
1997,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino White,,94.0,
1998,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino White,,95.0,
1999,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino White,,95.0,
2000,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino White,,95.0,
2001,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino White,,94.0,
2002,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino White,,94.0,
2003,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino White,,95.0,
2004,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino White,,95.0,
2005,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino White,,94.0,
2006,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino White,,94.0,
2007,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino White,,93.0,
2008,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino White,,91.0,
2009,Hib (primary series plus booster dose),8,Race and Hispanic origin,1,Not Hispanic or Latino White,,55.0,
2009,Combined series (4:3:1:4:3:1:4),4,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,40.0,
2007,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,62.0,
2008,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,66.0,
2009,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,58.0,
2002,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,62.0,
2003,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,68.0,
2004,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,71.0,
2005,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,76.0,
2006,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,74.0,
2007,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,75.0,
2008,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,73.0,
2009,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,67.0,
1995,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,74.0,
1996,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,79.0,
1997,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,77.0,
1998,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,77.0,
1999,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,79.0,
2000,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,76.0,
2001,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,76.0,
2002,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,76.0,
2003,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,80.0,
2004,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,80.0,
2005,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,84.0,
2006,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,81.0,
2007,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,82.0,
2008,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,80.0,
2009,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,79.0,
1995,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,84.0,
1996,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,90.0,
1997,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,89.0,
1998,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,88.0,
1999,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,87.0,
2000,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,87.0,
2001,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,85.0,
2002,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,87.0,
2003,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,89.0,
2004,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,90.0,
2005,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,91.0,
2006,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,90.0,
2007,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,91.0,
2008,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,92.0,
2009,Polio (3 doses or more),,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,91.0,
1995,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,87.0,
1996,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,90.0,
1997,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,89.0,
1998,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,89.0,
1999,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,90.0,
2000,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,88.0,
2001,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,89.0,
2002,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,90.0,
2003,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,92.0,
2004,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,91.0,
2005,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,92.0,
2006,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,91.0,
2007,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,92.0,
2008,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,92.0,
2009,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,88.0,
1995,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,88.0,
1996,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,89.0,
1997,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,91.0,
1998,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,90.0,
1999,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,92.0,
2000,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,93.0,
2001,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,90.0,
2002,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,92.0,
2003,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,92.0,
2004,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,91.0,
2005,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,93.0,
2006,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,91.0,
2007,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,91.0,
2008,Hib (3 doses or more),8,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,89.0,
2009,Hib (primary series plus booster dose),8,Race and Hispanic origin,1,Not Hispanic or Latino Black or African American,,51.0,
2009,Combined series (4:3:1:4:3:1:4),4,Race and Hispanic origin,1,American Indian or Alaska Native,,,
2007,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,American Indian or Alaska Native,,75.0,
2008,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,American Indian or Alaska Native,,63.0,
2009,Combined series (4:3:1:3:3:1:4),5,Race and Hispanic origin,1,American Indian or Alaska Native,,,
2002,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,American Indian or Alaska Native,,,
2003,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,American Indian or Alaska Native,,69.0,
2004,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,American Indian or Alaska Native,,67.0,
2005,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,American Indian or Alaska Native,,,*
2006,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,American Indian or Alaska Native,,75.0,
2007,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,American Indian or Alaska Native,,83.0,
2008,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,American Indian or Alaska Native,,77.0,
2009,Combined series (4:3:1:3:3:1),6,Race and Hispanic origin,1,American Indian or Alaska Native,,73.0,
1995,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,American Indian or Alaska Native,,71.0,
1996,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,American Indian or Alaska Native,,85.0,
1997,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,American Indian or Alaska Native,,80.0,
1998,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,American Indian or Alaska Native,,83.0,
1999,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,American Indian or Alaska Native,,80.0,
2000,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,American Indian or Alaska Native,,75.0,
2001,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,American Indian or Alaska Native,,77.0,
2002,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,American Indian or Alaska Native,,,*
2003,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,American Indian or Alaska Native,,80.0,
2004,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,American Indian or Alaska Native,,77.0,
2005,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,American Indian or Alaska Native,,,*
2006,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,American Indian or Alaska Native,,83.0,
2007,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,American Indian or Alaska Native,,86.0,
2008,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,American Indian or Alaska Native,,82.0,
2009,DTP/DT/DTaP (4 doses or more),7,Race and Hispanic origin,1,American Indian or Alaska Native,,82.0,
1995,Polio (3 doses or more),,Race and Hispanic origin,1,American Indian or Alaska Native,,86.0,
1996,Polio (3 doses or more),,Race and Hispanic origin,1,American Indian or Alaska Native,,90.0,
1997,Polio (3 doses or more),,Race and Hispanic origin,1,American Indian or Alaska Native,,90.0,
1998,Polio (3 doses or more),,Race and Hispanic origin,1,American Indian or Alaska Native,,85.0,
1999,Polio (3 doses or more),,Race and Hispanic origin,1,American Indian or Alaska Native,,88.0,
2000,Polio (3 doses or more),,Race and Hispanic origin,1,American Indian or Alaska Native,,90.0,
2001,Polio (3 doses or more),,Race and Hispanic origin,1,American Indian or Alaska Native,,88.0,
2002,Polio (3 doses or more),,Race and Hispanic origin,1,American Indian or Alaska Native,,,*
2003,Polio (3 doses or more),,Race and Hispanic origin,1,American Indian or Alaska Native,,91.0,
2004,Polio (3 doses or more),,Race and Hispanic origin,1,American Indian or Alaska Native,,87.0,
2005,Polio (3 doses or more),,Race and Hispanic origin,1,American Indian or Alaska Native,,,*
2006,Polio (3 doses or more),,Race and Hispanic origin,1,American Indian or Alaska Native,,91.0,
2007,Polio (3 doses or more),,Race and Hispanic origin,1,American Indian or Alaska Native,,95.0,
2008,Polio (3 doses or more),,Race and Hispanic origin,1,American Indian or Alaska Native,,91.0,
2009,Polio (3 doses or more),,Race and Hispanic origin,1,American Indian or Alaska Native,,92.0,
1995,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,American Indian or Alaska Native,,88.0,
1996,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,American Indian or Alaska Native,,89.0,
1997,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,American Indian or Alaska Native,,92.0,
1998,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,American Indian or Alaska Native,,91.0,
1999,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,American Indian or Alaska Native,,92.0,
2000,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,American Indian or Alaska Native,,87.0,
2001,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,American Indian or Alaska Native,,94.0,
2002,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,American Indian or Alaska Native,,84.0,
2003,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,American Indian or Alaska Native,,92.0,
2004,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,American Indian or Alaska Native,,89.0,
2005,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,American Indian or Alaska Native,,90.0,
2006,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,American Indian or Alaska Native,,89.0,
2007,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,American Indian or Alaska Native,,96.0,
2008,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,American Indian or Alaska Native,,96.0,
2009,"Measles, Mumps, Rubella",,Race and Hispanic origin,1,American Indian or Alaska Native,,95.0,
1995,Hib (3 doses or more),8,Race and Hispanic origin,1,American Indian or Alaska Native,,93.0,
1996,Hib (3 doses or more),8,Race and Hispanic origin,1,American Indian or Alaska Native,,91.0,
1997,Hib (3 doses or more),8,Race and Hispanic origin,1,American Indian or Alaska Native,,86.0,
1998,Hib (3 doses or more),8,Race and Hispanic origin,1,American Indian or Alaska Native,,90.0,
1999,Hib (3 doses or more),8,Race and Hispanic origin,1,American Indian or Alaska Native,,91.0,
2000,Hib (3 doses or more),8,Race and Hispanic origin,1,American Indian or Alaska Native,,90.0,
2001,Hib (3 doses or more),8,Race and Hispanic origin,1,American Indian or Alaska Native,,91.0,
2002,Hib (3 doses or more),8,Race and Hispanic origin,1,American Indian or Alaska Native,,,*
2003,Hib (3 doses or more),8,Race and Hispanic origin,1,American Indian or Alaska Native,,89.0,
